Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
India,357021120,364922368,372997184,381227712,389731392,398577984,407656608,416935392,426295776,435900352,445954560,456351872,467024192,477933632,489059296,500114336,510992608,521987072,533431904,545314688,557501312,569999168,582837952,596107456,609721920,623524224,637451456,651685632,666267776,681248384,696828352,712869312,729169472,745826560,762895168,780242112,797878976,815716160,833729664,852012672,870452160,888941760,907574080,926351296,945261952,964279104,983281216,1002335232,1021434560,1040500032,1059633664,1078970880,1098313088,1117415168,1136264576,1154638720,1172373760,1189691776,1206734848,1223640192,1240613632,1257621248,1274487168,1291132032,1307246464,1322866560,1338636288,1354195712,1369003264,1383112064,1396387072,1407563904,1417173120
Indonesia,69567624,71019352,72570832,74207992,75925328,77741512,79661840,81690984,83818760,86047672,88382888,90816944,93345496,95962536,98675064,101157872,103561104,106260752,109138728,112149256,115228392,118347136,121504136,124709056,127945192,131213216,134521024,137861536,141250960,144693088,148177104,151686336,155228656,158790608,162331968,165791696,169135280,172421392,175694640,178949168,182159888,185361232,188558416,191737280,194928544,198140160,201373792,204628016,207855488,210996912,214072416,217112432,220115088,223080128,225938592,228805152,231797424,234858288,237936544,240981296,244016176,247099696,250222688,253275920,256229760,259091968,261850176,264498848,267066848,269582880,271857984,273753184,275501344
Iran,16832842,17219634,17614458,18017556,18434882,18873866,19332418,19805916,20295116,20821856,21388810,21983630,22605052,23259096,23948632,24667028,25398706,26133346,26875302,27643692,28449702,29273686,30111578,30981904,31895540,32856976,33841064,34876504,35993664,37205012,38520668,40476260,42500036,44027988,45628400,47266160,48913236,50541504,52111868,53644740,55793628,57990892,59372016,59755432,59985752,60794808,61598380,62480528,63461424,64474748,65544380,66674856,67327120,67954704,69061680,70182592,71275768,72319424,73318400,74322688,75373864,76342968,77324448,78458928,79961672,81790848,83306232,84505080,85617560,86564208,87290192,87923432,88550568
Iraq,5656483,5783975,5930354,6089263,6252046,6405692,6552814,6683810,6796489,6929328,7084683,7260718,7481829,7735816,7997661,8270548,8553880,8848513,9156137,9476742,9811356,10154937,10507318,10872140,11243145,11617631,11999347,12400193,12819715,13233833,13653368,14067267,14467687,14903738,15377037,15753858,16148228,16598017,16987352,17442600,17658384,17846384,18385682,19295822,20248074,20948856,21639336,22330776,23053490,23820734,24628860,25425666,26255344,27068826,27858950,28698688,28905614,28660888,29218384,30289044,31264880,32378066,33864452,35481804,36746484,37757812,38697940,39621156,40590700,41563524,42556988,43533592,44496124
Ireland,2906608,2924713,2929379,2917036,2902783,2886375,2869658,2854321,2838765,2823474,2811075,2807012,2813072,2824097,2837439,2852404,2867008,2882744,2899653,2917193,2937647,2969402,3013995,3062017,3110101,3157921,3205754,3254661,3305575,3351902,3391393,3424834,3451220,3472904,3490937,3505781,3515672,3513702,3498032,3483316,3485370,3504806,3528370,3545700,3559396,3579486,3606725,3640157,3678670,3719918,3768954,3829019,3894256,3958706,4031961,4121220,4234809,4359841,4452393,4499797,4524581,4544504,4564550,4588830,4622165,4665764,4715791,4771860,4834506,4896021,4946123,4986525,5023108
Isle of Man,54838,54456,53962,53448,52904,52305,51668,50994,50294,49575,48816,48448,48695,49151,49620,50082,50739,51756,52929,54124,55323,56454,57444,58348,59205,59972,60731,61531,62365,63196,64044,64584,64677,64625,64522,64404,64690,65580,66659,67764,68890,69794,70328,70729,71115,71478,72004,72816,73750,74692,75582,76419,77206,77959,78697,79431,80243,81119,82013,82936,83844,84360,84352,84167,83916,83614,83472,83596,83792,83950,84063,84286,84534
Israel,1284166,1337637,1393191,1450460,1507415,1564966,1625677,1688686,1754789,1825849,1902260,1983320,2069094,2160430,2257904,2361090,2467859,2575798,2684855,2795473,2907314,3018592,3120955,3214277,3303723,3388093,3468125,3541379,3608739,3675787,3744612,3816754,3892841,3979099,4077001,4182689,4295413,4412035,4535402,4666781,4803255,4942821,5079388,5213005,5346294,5478738,5612491,5743280,5869504,5994091,6116955,6237984,6356697,6475917,6595990,6714119,6832082,6952007,7074530,7199704,7328439,7459750,7592099,7726675,7863849,8007777,8159015,8309256,8456487,8607922,8757487,8900057,9038313
Italy,46391944,46750764,47016488,47412148,47833768,48130728,48403440,48660256,48930472,49224672,49517708,49812724,50162244,50555128,50997780,51452860,51882568,52294440,52661072,53001508,53324036,53636100,53995428,54379588,54750684,55093992,55388904,55649672,55877016,56070680,56329480,56532908,56585840,56607516,56620236,56636468,56639056,56644528,56670880,56711524,56756560,56794488,56833184,56869456,56883820,56885124,56898972,56925808,56938736,56945064,56966400,56994992,57107576,57425176,57860664,58199876,58429904,58778480,59224228,59562844,59822452,60025952,60190152,60312600,60322792,60232908,60118628,60004024,59877432,59727936,59500576,59240336,59037472
Jamaica,1407472,1448405,1482284,1509999,1533225,1552891,1570058,1586415,1603780,1622048,1642331,1663763,1683763,1703872,1725189,1746983,1768803,1790590,1812219,1834620,1859094,1886154,1915306,1945324,1974883,2003102,2029490,2054929,2080487,2106939,2135548,2166671,2199604,2232789,2264104,2292036,2315874,2336242,2354813,2373368,2392035,2411869,2434580,2459064,2484186,2509369,2532895,2554952,2576569,2596276,2612203,2625410,2638248,2651034,2664027,2676868,2689658,2701222,2711378,2722405,2733904,2746169,2759819,2773134,2784542,2794455,2802699,2808388,2811842,2813776,2820438,2827701,2827382
Japan,84353056,85683472,86921760,88057136,89093016,90090280,91021560,91837664,92671296,93575984,94464840,95355464,96267888,97246712,98319344,99468752,100466904,101527856,102819280,104102072,105416840,106789360,108220400,109679472,111100024,112411640,113624872,114761520,115809520,116765512,117624200,118385728,119098144,119793752,120470736,121119024,121710304,122268888,122798304,123270648,123686320,124073992,124444696,124779576,125119264,125433968,125726224,126027984,126308392,126555064,126803864,127065736,127301744,127502352,127671288,127798376,127902168,128006424,128077632,128117040,128105432,128007256,127853688,127678920,127476728,127250936,126993856,126662464,126255872,125791680,125244760,124612528,123951696
Jersey,56875,57455,58053,58663,59243,59782,60304,60829,61373,61931,62510,63087,63705,64348,64986,65618,66259,66881,67444,67931,68371,69094,70168,71256,72241,73128,73806,74239,74572,74876,75144,75608,76378,77236,78063,78893,79735,80598,81448,82226,82897,83392,83741,84016,84196,84311,84570,85035,85502,85908,86211,86777,87742,88777,89831,90913,91973,93043,94112,95150,96164,96853,97438,98427,99390,100572,102152,103623,105387,107055,108332,109634,110796
Jordan,438397,469976,504575,541624,580804,622015,665073,709855,755915,802364,847944,891854,934620,978607,1029461,1093482,1172775,1265693,1366656,1466436,1557376,1636331,1704794,1767422,1827591,1886638,1945148,2005436,2069110,2138073,2216908,2306655,2406352,2514792,2629947,2751501,2879812,3014701,3157180,3310963,3480591,3666384,3866894,4075763,4278165,4458201,4608685,4733666,4844416,4950778,5056172,5163313,5275531,5396122,5532426,5678541,6075550,6473460,6632880,6780508,6931263,7109980,7211866,7694818,8658030,9494250,9964659,10215384,10459864,10698682,10928723,11148288,11285875
Kazakhstan,6655677,6887975,7124077,7362297,7605942,7858733,8124180,8405665,8698753,9003388,9319287,9639301,9959416,10277792,10590936,10897641,11197569,11491232,11777856,12042479,12265311,12444340,12612001,12789987,12972501,13158945,13346180,13543527,13750296,13957801,14172706,14397397,14634182,14885973,15147590,15413315,15721289,16072474,16430588,16704995,16866574,16993796,17043420,16979700,16747153,16434323,16144248,15820435,15474257,15256256,15236256,15281288,15338962,15416709,15521921,15656255,15822751,16006138,16196521,16402365,16627839,16864920,17102868,17345734,17592296,17835908,18078558,18314822,18538100,18754260,18979250,19196468,19397998
Kenya,5774050,5905776,6048731,6201954,6371195,6558872,6763947,6987583,7223458,7475758,7751440,8047476,8363580,8697198,9047390,9417211,9802604,10201077,10613884,11039549,11473096,11898470,12322909,12760411,13203951,13651905,14102271,14577353,15087429,15620615,16187124,16785966,17411500,18069468,18753178,19452160,20160886,20882096,21626126,22387804,23162270,23918238,24655724,25391832,26133748,26878350,27615736,28364268,29137380,29965128,30851604,31800344,32779824,33767120,34791836,35843016,36925260,38036796,39186896,40364448,41517896,42635148,43725808,44792368,45831860,46851496,47894668,48948140,49953300,50951452,51985780,53005616,54027484
Kiribati,37871,38646,39443,40272,41129,42028,42958,43929,44929,45992,47112,48296,49526,50804,52112,53462,54447,55012,55532,56343,57454,58559,59628,60616,60972,60692,60334,59914,59484,59795,60835,61894,62997,64145,65356,66724,68283,69966,71700,73448,75140,76627,77922,79110,80280,81497,82848,84319,85817,87309,88840,90543,92408,94316,96239,98181,100095,102013,103981,106011,108011,109887,111630,113316,115002,116717,118529,120378,122276,124252,126473,128883,131237
Kosovo,767280,789113,811994,834870,856560,877852,899522,921556,943924,966743,990155,1014214,1038623,1063178,1087707,1111818,1135523,1159618,1184649,1211024,1238240,1267635,1300788,1335441,1370854,1406892,1443500,1480324,1516215,1551610,1589403,1627817,1665990,1706005,1746877,1787433,1827155,1865135,1898994,1931022,1964994,2001990,2039038,2073994,2107943,2141414,2173719,2204871,2090498,1888582,1823291,1840261,1846788,1839437,1832246,1825054,1817660,1810225,1803379,1797465,1792559,1799340,1811418,1805676,1777812,1759122,1750724,1731670,1709966,1686856,1670702,1662022,1659721
Kuwait,153754,157775,161998,166450,171107,183469,204037,223285,245834,274523,305422,339699,378203,420500,465764,513847,565473,621251,681130,743053,802791,858740,913794,970539,1030436,1096004,1168799,1247236,1329083,1412277,1493882,1573030,1652931,1736039,1813998,1888982,1968093,2048485,2129160,2210017,1674942,1339505,1620639,1653651,1641113,1655228,1703318,1761473,1819553,1877433,1934910,1991676,2047368,2101512,2153485,2235409,2363417,2506774,2650941,2795553,2943364,3143827,3394668,3646520,3761590,3908745,4048090,4124904,4317190,4441105,4360451,4250111,4268886
Kyrgyzstan,1751232,1787659,1824915,1863145,1902811,1944999,1990052,2038792,2091479,2150044,2216535,2289947,2368628,2450300,2532699,2615167,2697109,2778464,2859536,2939223,3016390,3088871,3157570,3224782,3290072,3353854,3416537,3481519,3550024,3619839,3691213,3764509,3840965,3922269,3997749,4064857,4132792,4202473,4272638,4335810,4394738,4456096,4501258,4507638,4530904,4596457,4666586,4738384,4810415,4878916,4935185,4981443,5026646,5078276,5137043,5193112,5246785,5294777,5345425,5414084,5483781,5552339,5631955,5719561,5814426,5914985,6018303,6121266,6223503,6323643,6424880,6527742,6630621
Laos,1684682,1725439,1766299,1807912,1850258,1893389,1937520,1982581,2028593,2075233,2122537,2171145,2221616,2273224,2325518,2379462,2434867,2491926,2551077,2612120,2675284,2740739,2808303,2877563,2946890,3012727,3072020,3125747,3177947,3233708,3297520,3370998,3453694,3543868,3639964,3741609,3848392,3959701,4074966,4193540,4314442,4437233,4561117,4685293,4807956,4927432,5043920,5150539,5246922,5340060,5430862,5519714,5606103,5689072,5768170,5852969,5946597,6041355,6135863,6229933,6323425,6416331,6508806,6600736,6691467,6787420,6891366,6997925,7105008,7212058,7319397,7425055,7529477
Latvia,1922524,1944999,1967170,1988469,2010067,2032506,2054645,2077358,2101587,2127087,2154253,2182716,2210152,2236423,2262862,2287813,2310943,2333511,2355476,2376691,2397412,2418302,2438490,2457030,2475080,2492531,2508852,2524842,2540598,2556226,2572039,2588054,2604944,2623160,2640609,2655099,2668865,2681830,2690475,2693388,2689398,2678970,2662885,2638889,2606464,2570150,2534288,2498881,2462333,2426357,2392536,2359255,2326150,2294342,2263453,2233165,2203917,2176059,2150411,2126268,2101537,2076974,2053635,2031491,2011040,1991951,1973477,1954861,1935632,1916552,1897057,1873926,1850654
Lebanon,1349596,1388220,1428098,1469433,1512267,1556332,1601858,1649154,1697138,1746551,1798095,1853299,1911960,1971511,2030450,2087452,2145655,2203210,2262290,2323825,2381799,2442141,2505964,2569851,2632884,2691590,3070422,3457617,3183407,2902166,2963707,3027229,3070139,3106996,3163561,3226746,3308021,3390870,3457153,3525517,3593705,3666735,3745410,3818800,3888152,3959642,4034250,4107559,4178786,4250024,4320650,4389201,4446663,4504807,4574799,4643052,4719874,4809608,4887615,4951138,4995799,5045061,5178338,5678859,6274345,6398941,6258628,6109255,5950842,5781912,5662924,5592626,5489744
Lesotho,579478,590010,601485,613828,627132,641362,656438,674070,694363,715634,737851,760899,784691,809146,834218,860224,887844,918931,952996,987915,1023493,1059890,1097247,1135633,1175376,1216193,1256483,1294443,1331218,1368922,1407685,1447508,1488398,1530334,1573278,1616700,1659800,1698946,1733736,1767094,1799004,1829515,1858515,1885486,1910648,1934085,1955102,1972588,1985651,1994247,1998632,1999478,1997537,1993034,1985386,1977428,1976787,1983471,1995016,2009178,2022752,2037687,2054722,2073948,2095251,2118532,2143876,2170622,2198030,2225710,2254104,2281464,2305826
Liberia,915910,933345,951893,971373,991956,1013794,1036707,1060606,1084948,1110223,1137030,1165008,1194091,1224170,1255206,1287325,1320323,1354294,1389454,1425887,1463571,1501666,1541001,1582700,1626287,1671636,1718487,1768093,1820869,1875575,1932174,1989695,2047608,2109151,2174201,2239733,2305870,2372454,2439645,2507604,2209737,1939244,2052633,2132776,2125202,2142429,2203974,2383302,2639227,2789749,2895229,2981655,3060603,3085173,3122448,3266326,3455400,3632748,3783892,3905066,4019958,4181148,4331749,4427319,4519410,4612330,4706106,4796632,4889396,4985290,5087591,5193422,5302690
Libya,1130680,1142851,1157712,1175868,1197861,1225697,1259035,1295607,1335665,1379414,1426984,1478764,1535161,1594767,1652109,1700074,1739834,1778581,1819403,1862827,1909179,1958326,2012804,2084268,2179453,2291850,2413760,2541810,2676123,2816921,2962724,3112019,3265461,3423595,3564551,3684318,3800115,3911950,4021580,4130046,4236988,4341979,4444827,4544972,4641297,4733065,4820077,4902348,4980968,5058000,5154789,5275920,5405326,5542650,5687561,5837994,5973372,6097177,6228377,6360194,6491991,6188135,5869880,5985228,6097767,6192241,6282202,6378267,6477791,6569085,6653946,6735280,6812344
Liechtenstein,13789,14030,14261,14494,14734,14969,15228,15531,15855,16169,16496,16858,17245,17649,18083,18524,18985,19485,20034,20582,21111,21539,21897,22276,22663,23052,23441,23825,24225,24641,25027,25373,25711,26081,26444,26813,27183,27563,27963,28382,28789,29192,29607,30036,30468,30910,31361,31795,32210,32639,33054,33402,33718,34023,34326,34627,34914,35180,35425,35699,35948,36213,36526,36836,37120,37378,37630,37916,38205,38500,38783,39058,39355
Lithuania,2564806,2589209,2615048,2641914,2669865,2699055,2729754,2762990,2799009,2836511,2875686,2915636,2952463,2986535,3020459,3052981,3084152,3115198,3146355,3177835,3210153,3243681,3276294,3307076,3337693,3368288,3399024,3430118,3460856,3491440,3521205,3550543,3580827,3612642,3643842,3672853,3702823,3732010,3755543,3773181,3785851,3793430,3795748,3788532,3770461,3747269,3722023,3694897,3665514,3633949,3599639,3560145,3515799,3469683,3422593,3373536,3322937,3272416,3224384,3180482,3139021,3099800,3063340,3028191,2994928,2963764,2933676,2904452,2876128,2849083,2820269,2786652,2750058
Low-income countries,115124011,116668543,118481303,120580557,122876037,125353761,127953318,130626001,133330319,136192297,139279504,142513031,145875319,149368030,153036540,156871256,160820670,164969567,169323594,173777968,178354049,183027534,187707196,192522076,197579060,202766588,208058587,213322704,219077893,225116202,230070428,234481298,239979172,246279320,252850490,259600786,266329993,273290467,280325878,287707539,295113902,302719388,311829848,321719678,331110172,340649422,350714341,360598492,370450935,380754981,390930582,401370112,413349829,425985207,438315500,451026810,464643750,478557950,492420651,506630550,521168124,536034115,550791385,564891338,579035766,593799102,609614594,626187698,643420791,661633048,680258922,698782037,717587377
Lower-middle-income countries,789659061,806659258,824322739,842609008,861652153,881619584,902303202,923719371,945638200,968358237,992041992,1016193166,1040961789,1066456125,1092568923,1118650842,1144744120,1171564606,1199280293,1227808434,1256736434,1285457753,1315146462,1346554674,1378703081,1411532827,1444952534,1479373685,1514934199,1551698522,1590635339,1631782844,1673454338,1715002716,1757033374,1799806499,1843201184,1886925482,1930937086,1975269229,2020653165,2066065851,2110223537,2153745205,2197553286,2241781730,2285832700,2330207743,2375067059,2419995017,2465592691,2511799308,2556960325,2601596128,2646723113,2691406988,2735471783,2779588288,2823712552,2868312458,2914138506,2960590210,3006968165,3053128864,3099123675,3144964232,3190920278,3236754793,3281847839,3326051409,3369707355,3411037255,3447030624
Luxembourg,296589,298220,300064,301764,303514,305521,307264,308849,310587,312509,314170,316593,319858,323015,326372,329793,333135,335567,337057,338287,339354,341980,346083,349199,351397,353675,355900,358272,361075,362940,363745,364484,365027,365448,365787,366471,368179,370536,373436,376960,381275,386405,391524,396705,402049,407639,413202,418413,423579,429352,435634,441254,445920,451351,457798,464868,472402,479877,488643,497876,507075,518207,530596,543068,556075,569415,583355,596290,607920,619981,630401,639330,647601
Macao,196852,200529,200844,200012,198241,195770,192737,189209,185299,181131,177028,178688,186054,193626,201390,209288,217247,225163,232939,240431,247291,249845,248679,247847,247293,246932,246670,246415,246063,245613,245339,248707,256699,266261,276605,287712,299494,311819,324489,337342,350240,362393,372377,380721,388787,396651,404305,411708,418782,425521,431904,439129,449675,462538,475536,488628,501870,515336,529048,543026,557307,571014,582776,593382,604163,615243,626694,638612,650996,663660,676287,686616,695180
Madagascar,3953898,4050689,4149959,4252322,4358099,4467594,4580879,4698045,4819238,4944331,5073347,5206249,5343120,5484253,5630035,5780461,5936462,6099529,6270533,6450330,6639750,6840461,7051096,7268563,7491937,7720864,7955196,8195146,8440924,8692290,8948166,9207319,9470993,9740092,10015022,10297741,10588432,10890521,11206792,11536740,11882763,12245266,12623342,13020110,13436125,13869136,14317462,14778913,15250936,15730885,16216432,16709664,17211938,17724310,18250776,18792174,19350302,19924960,20513594,21117092,21731052,22348158,22966242,23588078,24215980,24850912,25501944,26169540,26846544,27533134,28225182,28915652,29611718
Malawi,2949747,3001119,3056302,3114937,3176130,3240320,3308680,3381114,3457392,3537430,3621087,3708197,3799164,3893632,3990361,4089102,4190771,4295759,4403431,4512871,4625145,4742484,4865982,4996244,5134203,5280971,5438231,5611717,5808819,6029143,6267373,6519893,6784349,7058317,7338998,7625083,7909822,8295992,8754782,9174895,9539669,9831584,10115423,10257232,10131796,10112813,10310525,10512681,10732462,10973953,11229380,11498822,11784500,12087968,12411343,12755647,13118309,13495463,13889420,14298937,14718426,15146095,15581250,16024775,16477972,16938944,17405624,17881172,18367886,18867340,19377058,19889742,20405318
Malaysia,5972878,6118741,6273221,6435030,6605400,6786083,6977026,7178108,7385695,7602946,7833788,8074800,8324221,8579358,8835933,9091017,9340245,9582092,9821309,10061684,10306509,10552565,10801631,11062667,11335200,11617957,11910081,12218924,12543894,12875017,13215709,13564596,13921034,14292864,14686459,15108141,15558747,16033107,16524616,17020144,17517060,18017470,18526708,19050074,19588706,20136886,20689060,21249178,21810542,22368652,22945152,23542522,24142448,24739420,25333250,25923540,26509416,27092604,27664304,28217208,28717728,29184140,29660216,30134806,30606454,31068834,31526414,31975812,32399270,32804024,33199988,33573872,33938216
Maldives,74497,75833,77229,78677,80208,81838,83579,85434,87407,89471,91666,93962,96347,98790,101254,104581,108726,112562,116063,119591,123256,127078,131004,134957,138953,143144,147480,151806,156039,160340,164900,169677,174531,179353,184398,190400,197237,204268,211172,217949,224976,232159,239146,245852,252211,258217,263861,269054,273806,278121,282520,287330,292293,297232,302142,307023,314411,325135,336890,349040,361579,374450,387552,400741,416746,435590,454263,472449,489773,504518,514451,521469,523798
Mali,4694920,4760165,4824835,4888112,4950995,5014683,5079263,5144680,5208918,5275378,5346797,5420248,5494850,5570468,5647381,5726385,5806572,5888494,5973764,6061765,6153586,6247884,6347159,6455258,6569275,6687296,6807651,6935341,7072941,7218082,7372590,7532866,7696350,7863941,8030108,8187658,8334593,8474335,8617480,8774126,8945030,9123965,9310571,9506515,9711802,9921096,10131913,10359310,10620471,10916998,11239103,11583825,11952660,12342167,12751997,13180556,13623541,14080916,14551122,15032645,15529183,16039734,16514689,17004038,17551824,18112910,18700108,19311356,19934304,20567430,21224042,21904990,22593598
Malta,291881,298201,304718,311425,317769,323606,328722,332607,335356,336972,337632,337127,335463,332905,329771,326409,322993,320158,318065,316463,315425,315103,315384,316204,317621,319626,322015,324653,327482,330476,333593,336625,339676,342891,346094,349122,352095,355177,358450,361913,365396,368676,371892,375257,378568,381860,385271,388843,392487,395993,399212,402163,404708,406926,408805,410217,411204,412091,413407,415509,418758,423577,429912,437531,446449,456585,467717,479507,491590,503646,515364,526751,533293
Marshall Islands,13085,13334,13563,13774,13940,14087,14222,14352,14559,14927,15393,15890,16409,16969,17558,18178,18817,19688,21023,22644,23992,24704,25107,25544,26199,27066,27984,28933,29916,30920,32008,33237,34593,35998,37454,38983,40549,42141,43712,45008,46069,47079,48032,48961,49859,50723,51556,52376,53186,53852,54243,54430,54511,54517,54452,54356,54224,54061,53833,53616,53431,52991,52223,51372,50440,49426,48354,47204,46012,44750,43437,42074,41593
Martinique,232006,237529,243390,249582,256153,262177,267488,272950,278566,284299,290102,295692,300750,305290,309585,313801,317859,321376,323853,325379,326440,327084,327398,327474,327776,328803,330293,331655,332600,333259,333798,334723,336863,340272,344350,348739,353347,358155,363118,368415,374280,380973,388251,395567,402801,409952,417051,424146,430307,433427,432555,429324,425469,419148,410136,400375,395559,395828,395490,394219,392183,389625,386991,384725,384393,383523,380350,377458,374843,372254,370399,368799,367512
Mauritania,658563,673332,688710,704649,721236,738585,756734,775706,795601,816489,838486,861667,885944,911296,937830,965627,994709,1025000,1056403,1088843,1122207,1156370,1191380,1227363,1264361,1302440,1341612,1381337,1421787,1463522,1506704,1551693,1598346,1646348,1695676,1746270,1798015,1851100,1905852,1955044,2006035,2066307,2147536,2237070,2315198,2380345,2428830,2484287,2550504,2620616,2695018,2761830,2821709,2883328,2946583,3012363,3081228,3153519,3233342,3322625,3419462,3524250,3636122,3742965,3843181,3946225,4051896,4160018,4270717,4383853,4498605,4614981,4736146
Mauritius,525445,540608,555896,569946,583047,596869,611537,626903,642899,659736,676690,693252,709824,726254,742494,758632,774468,789584,803770,817204,830125,842417,854043,865378,876746,888293,900173,912581,925843,940038,954876,969806,984181,998001,1011951,1025777,1039034,1051817,1064328,1076973,1090296,1104267,1118719,1133260,1147165,1160218,1172545,1184265,1194879,1205416,1215930,1225272,1233974,1242343,1250388,1258050,1264777,1270591,1275691,1279868,1283347,1286239,1288753,1290698,1292112,1293159,1293909,1294743,1295386,1296284,1297830,1298922,1299478
Mayotte,20568,20989,21434,21908,22414,22963,23544,24149,24796,25479,26189,26910,27674,28469,29303,30183,31133,32149,33208,34295,35403,36570,37824,39171,40596,42111,43727,45464,47401,49666,52256,55054,58056,61228,64608,68302,72460,77061,81993,87202,92670,98452,104569,111059,117871,124957,132206,139330,146091,152655,159225,165722,172184,178821,183761,187154,190921,195620,201002,206350,211794,217393,223586,230990,239717,249555,260296,271576,282968,294502,305591,316022,326113
Mexico,27600140,28328022,29061668,29822098,30616898,31452140,32325944,33239524,34180100,35179436,36268048,37439316,38683280,39982116,41333880,42737996,44180444,45656964,47170340,48714396,50289304,51897680,53543432,55228200,56945880,58691880,60452544,62262508,64124000,65972908,67705184,69233768,70656784,72080312,73489648,74872008,76224360,77553504,78892016,80233752,81720424,83351600,84993160,86648440,88314416,89969568,91586560,93183088,94767288,96334808,97873448,99394288,100917080,102429344,103945816,105442400,106886792,108302976,109684496,111049424,112532400,114150480,115755912,117290680,118755888,120149896,121519224,122839256,124013864,125085312,125998296,126705136,127504120
Micronesia (country),31934,32830,33776,34760,35770,36837,37963,39117,40324,41583,43006,44581,46216,47778,49254,50777,52364,53960,55575,57255,59014,60688,62281,63909,65571,67139,68619,70159,72003,74131,76317,78544,80830,83172,85561,87976,90415,92860,95004,96809,98616,100448,102908,106043,108858,110346,110798,111152,111424,111553,111725,111964,112005,111821,111447,110957,110317,109547,108718,107882,107606,107897,108248,108616,109039,109477,109934,110441,110945,111392,112119,113143,114178
Moldova,2370314,2430564,2494784,2563599,2637040,2714716,2795867,2879662,2964844,3049762,3133275,3213990,3289334,3358172,3420202,3476796,3529796,3579248,3625658,3669487,3711141,3751344,3790994,3831281,3872285,3913593,3954574,3994203,4031779,4067633,4103239,4139691,4178059,4218424,4259960,4300695,4343290,4388484,4428712,4459386,4480206,4490929,4494901,4493699,4482513,4461238,4430199,4393794,4353535,4303942,4251571,4200500,4147644,4093984,4046998,4001380,3942748,3876847,3812420,3749496,3678186,3595135,3507197,3416532,3338338,3277390,3225125,3180515,3141839,3109496,3084848,3061509,3272993
Monaco,19755,19926,19692,20043,20296,20452,20715,21089,21407,21649,21824,21932,22136,22469,22792,23046,23222,23301,23507,23902,24294,24637,24910,25128,25284,25549,25930,26270,26581,26861,27102,27310,27600,28007,28433,28833,29199,29524,29826,30104,30351,30593,30818,31053,31280,31505,31740,31994,32234,32418,32494,32466,32406,32346,32258,32162,32026,31841,31889,32428,33203,33971,34723,35449,36133,36781,37090,37069,37050,37059,36943,36713,36491
Mongolia,781264,793058,805035,817524,830704,845000,864384,888964,915704,945444,977906,1011504,1045316,1075886,1104021,1134072,1165753,1198202,1230411,1261889,1293885,1327784,1363842,1402316,1443134,1485696,1529093,1572522,1615862,1657457,1697787,1739225,1781808,1825782,1871654,1919755,1969916,2021507,2073778,2120835,2161440,2200077,2236503,2270313,2301514,2330339,2357038,2381777,2405156,2428500,2450988,2472612,2494622,2516461,2537955,2559258,2581245,2605647,2633896,2666718,2702527,2743946,2792354,2845160,2902826,2964756,3029559,3096033,3163994,3232435,3294340,3347782,3398373
Montenegro,402266,409637,418821,427834,434973,441386,447687,453970,460327,466738,473055,479342,485549,491573,497449,503202,508911,514511,519972,525266,530271,535488,541275,547221,553233,559283,565348,571417,577418,583341,589334,594074,596976,599337,601826,604622,607633,610820,614277,617866,621450,624961,627669,629560,630973,632066,633014,633610,633912,633728,633330,633062,632745,632356,632550,632885,632551,631931,631475,631187,631048,631801,633053,633951,634301,633969,633264,632445,631459,630403,629058,627856,627082
Montserrat,13011,12997,12960,13074,13382,13452,13231,12961,12655,12345,12128,12018,11949,11889,11819,11749,11677,11612,11545,11472,11423,11431,11464,11496,11532,11553,11577,11576,11567,11541,11472,11392,11321,11257,11192,11133,11098,11045,10986,10918,10828,10593,10131,9571,8982,8365,7737,7092,6435,5790,5166,4727,4627,4652,4682,4717,4756,4793,4836,4896,4960,4989,4999,5035,5075,5083,5108,4723,4381,4528,4526,4438,4413
Morocco,8946213,9188598,9438851,9696707,9963633,10242171,10531695,10831992,11138244,11452438,11769782,12081717,12404766,12726695,13044255,13381884,13738507,14109759,14490077,14876983,15274357,15677305,16081446,16489462,16902386,17325328,17756514,18206480,18679864,19167660,19678446,20208270,20746774,21287382,21817268,22335078,22824446,23279934,23720600,24148104,24570816,24988088,25400676,25806782,26201554,26599054,26999094,27397118,27791828,28176992,28554420,28930100,29301820,29661272,30033124,30431898,30833024,31232634,31634996,32042880,32464866,32903708,33352166,33803528,34248608,34680456,35107272,35528116,35927516,36304408,36688768,37076588,37457976
Mozambique,5920221,6002285,6082380,6159692,6237199,6318912,6404165,6492819,6580335,6675658,6788377,6917531,7060376,7209810,7363643,7524155,7689640,7859473,8035532,8217932,8411678,8622889,8860587,9123676,9404229,9703732,10019210,10363576,10741129,11127851,11413590,11640020,11901834,12163331,12426220,12680070,12909798,12964793,12956776,13087606,13303461,13561180,13816886,14206253,14912879,15594829,16079560,16521724,16923202,17337896,17768510,18220724,18694948,19186758,19694412,20211124,20735990,21280520,21845572,22436660,23073732,23760424,24487614,25251738,26038704,26843252,27696500,28569448,29423882,30285602,31178242,32077074,32969520
