Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,7906861,7879090,7875526,7893242,7927676,7976362,8037361,8109537,8194568,8288642,8389186,8495750,8599863,8694987,8779748,8854532,8921804,8985775,9047806,9108449,9170790,9236772,9303947,9369577,9435594,9500735,9564385,9628882,9693322,9756258,9817256,9877123,9938940,10004049,10069354,10133217,10201675,10270610,10333484,10387611,10428527,10457619,10475912,10480485,10475397,10461694,10436455,10400926,10357472,10308281,10256489,10201212,10135391,10065881,9999713,9935166,9874700,9825990,9787829,9757710,9731426,9706983,9693754,9691143,9693741,9700609,9708111,9707874,9695573,9673971,9633745,9578172,9534956
Belgium,8617340,8655405,8695589,8740418,8787230,8834527,8881499,8931968,8987667,9049394,9108729,9168479,9230337,9288223,9350473,9412091,9466114,9515229,9556258,9592105,9629376,9666396,9700295,9727987,9749063,9763432,9773540,9786372,9800204,9814133,9828989,9843594,9857337,9866528,9873600,9880540,9887822,9900226,9917989,9937168,9959565,9987072,10016455,10043738,10069182,10095204,10123230,10154876,10188541,10224223,10264351,10309249,10355569,10402550,10456164,10516979,10582970,10653698,10726720,10801357,10877948,10955742,11031140,11103260,11176727,11248306,11316837,11384491,11448598,11510569,11561716,11611416,11655923
Belize,69134,71238,73480,75659,77822,80005,82214,84469,86758,89078,91420,93774,96200,98877,101790,104853,108075,111423,114843,118164,120921,123105,125075,126889,128634,130818,133487,136200,138949,141843,145147,148782,152420,156070,159739,163453,167212,170995,174831,178711,182603,186478,190312,194192,198430,203572,209857,217127,224917,232750,240420,248109,256000,264006,272141,280386,288745,297182,305687,314178,322115,329546,337067,344695,352343,359884,367327,374702,382076,389103,394931,400037,405285
Benin,2264457,2280682,2297837,2316685,2337371,2360087,2385284,2413058,2443408,2476500,2512290,2551223,2593309,2638089,2685626,2735843,2788645,2843744,2901225,2961174,3023443,3088385,3156412,3227385,3301277,3378701,3460331,3546458,3636937,3732395,3833947,3941578,4054390,4171533,4293077,4419558,4551384,4688794,4831628,4979683,5133429,5293055,5457781,5706188,5923401,6046512,6203860,6387026,6584179,6788596,6998022,7212043,7431787,7659211,7894558,8149420,8402635,8647761,8906472,9172514,9445716,9726385,10014087,10308730,10614845,10932791,11260091,11596786,11940688,12290443,12643121,12996901,13352864
Bermuda,37168,37567,37934,38317,38731,39158,39656,40220,40821,41426,42048,42909,43946,44978,46021,47095,48154,49162,50168,51158,52037,52560,52766,52946,53122,53276,53393,53457,53485,53478,53583,53930,54362,54783,55217,55632,56014,56388,56758,57133,57490,57897,58344,58763,59138,59486,59857,60248,60624,61004,61390,61785,62156,62490,62759,62980,63096,63181,63277,63375,63466,63554,63581,63527,63375,63165,63090,63295,63591,63833,64051,64213,64207
Bhutan,176380,179844,183558,187490,191656,196028,200618,205440,210480,215755,221277,227083,233434,240282,247452,255024,262986,271345,280111,289310,298907,308850,319142,329807,340846,352280,364131,376398,389082,402067,415266,428649,442217,456042,470179,484531,499158,514033,529057,544217,558449,567719,545956,520840,521268,527535,537500,546873,557153,571002,587210,603243,619055,634635,649995,663332,673273,681624,689741,697682,705523,713338,721154,728898,736362,743284,749764,756130,762104,767467,772512,777500,782457
Bolivia,3089847,3136898,3186940,3240447,3297552,3357924,3421571,3488300,3558669,3632170,3707520,3784750,3864143,3945728,4029474,4115514,4204072,4295273,4389247,4486107,4585696,4688273,4793809,4902250,5013765,5127783,5244361,5363918,5486139,5610389,5736092,5862996,5991117,6120628,6251924,6385634,6521990,6661432,6804076,6949147,7096195,7244896,7394417,7544494,7693728,7841471,7989373,8137627,8286930,8439057,8592656,8746087,8900591,9057386,9216282,9377395,9542663,9711155,9880593,10051322,10223277,10396249,10569697,10743352,10916991,11090090,11263016,11435535,11606906,11777318,11936169,12079474,12224114
Bonaire Sint Eustatius and Saba,7016,7033,7091,7190,7402,7550,7537,7542,7571,7615,7699,7821,7960,8122,8305,8502,8719,8952,9200,9447,9703,9954,10178,10350,10505,10672,10845,11026,11209,11388,11568,11717,11822,11901,11996,12092,12180,12284,12389,12507,12630,12751,12866,12979,13097,13228,13371,13518,13669,13825,13984,14264,14782,15414,16076,16748,17428,18123,18824,19535,20245,20897,21469,22026,22599,23193,23793,24392,24995,25597,26178,26730,27052
Bosnia and Herzegovina,2692914,2738125,2787386,2841474,2899036,2958434,3018308,3078144,3138475,3200054,3262540,3325338,3387521,3448535,3507961,3565526,3620850,3673376,3723069,3770379,3815565,3859250,3901896,3943151,3983066,4022094,4060043,4096524,4131522,4165508,4199816,4235971,4274014,4312524,4349602,4383311,4413378,4440298,4463329,4481226,4494314,4502389,4275737,3942985,3762334,3750528,3907749,4047756,4115062,4153006,4179355,4194941,4198410,4183758,4142858,4094297,4058086,4007877,3943390,3877755,3811093,3743143,3674376,3617564,3571070,3524328,3480985,3440025,3400132,3360718,3318410,3270948,3233530
Botswana,413489,422896,432601,442494,452270,461892,471467,481230,491312,501837,512874,524413,536436,549046,562288,570984,574860,578731,582661,586748,592254,604146,626618,657255,691577,727933,766429,806972,849404,893509,938582,982753,1023019,1060729,1099177,1138713,1179266,1220365,1261276,1301681,1341480,1380593,1420696,1462267,1503551,1543641,1582175,1619358,1655707,1691561,1726992,1761940,1795137,1826866,1859087,1892819,1928714,1966980,2007322,2048997,2091666,2134043,2175429,2217285,2260383,2305177,2352419,2401848,2451411,2499705,2546404,2588424,2630300
Brazil,53955360,55591060,57283340,59025680,60827596,62701036,64644888,66660892,68735928,70880824,73092520,75330008,77599224,79915560,82262800,84623752,86979288,89323288,91659248,94000384,96369888,98766288,101194392,103666904,106167376,108700512,111286504,113939888,116664384,119447304,122288384,125168064,128065104,130977376,133888776,136783184,139643360,142466272,145253984,148003424,150706448,153336448,155900784,158440864,160980480,163515328,166037120,168546704,171039808,173486272,175873712,178211888,180476688,182629280,184722048,186797344,188820688,190779456,192672320,194517552,196353504,198185296,199977712,201721776,203459648,205188208,206859584,208504960,210166592,211782880,213196304,214326224,215313504
British Virgin Islands,7379,7390,7394,7431,7498,7541,7568,7614,7687,7789,7871,7909,7922,7943,7975,8040,8163,8361,8668,9139,9600,9831,9924,10039,10166,10303,10449,10599,10754,10895,11129,11493,11910,12335,12778,13224,13681,14140,14620,15118,15646,16111,16497,16875,17275,17693,18144,18610,19101,19610,20126,20685,21308,22004,22740,23522,24344,25215,26139,27067,27578,27984,28440,28683,29000,29394,29763,30084,30359,30631,30934,31145,31332
Brunei,48290,51113,54038,57195,60608,64283,68225,72398,76708,81067,85361,89580,93853,98292,102921,107701,112608,117645,122783,128021,133349,138679,143903,149076,154327,159667,165079,170572,176184,181964,187931,194106,200642,207541,214701,222134,229827,237727,245746,253824,261936,269869,277427,284723,291950,299108,306210,313224,320156,327058,333937,340759,347470,354049,360472,366728,372814,378761,384579,390322,396064,401515,406637,411704,416670,421449,426001,430290,434283,438058,441736,445382,449002
Bulgaria,7157630,7228735,7293469,7362716,7439592,7517927,7596099,7672064,7749341,7820755,7891763,7969343,8040771,8108150,8177724,8245080,8308898,8369839,8438287,8512917,8582960,8646261,8700151,8753492,8810681,8860971,8902475,8935448,8958270,8974434,8980602,8978415,8970487,8956441,8939492,8917080,8892099,8865756,8835822,8804436,8767778,8721659,8668545,8611541,8548469,8477584,8401382,8318965,8234934,8162298,8097694,8034863,7974804,7917745,7865314,7815221,7766040,7719035,7674912,7634737,7592271,7543128,7488347,7431169,7372142,7309255,7245982,7182430,7117424,7052536,6979181,6885864,6781955
Burkina Faso,4213762,4261987,4312577,4364034,4417101,4472827,4530890,4591020,4651798,4715490,4783261,4852836,4924498,4998671,5076110,5157928,5242799,5330614,5422122,5515754,5611666,5707795,5805284,5907748,6018147,6138449,6269765,6416569,6577786,6749937,6932969,7123735,7321819,7531194,7751478,7979187,8207833,8434994,8663721,8895235,9131362,9365072,9598555,9840080,10091260,10353268,10621215,10897363,11201067,11533557,11882896,12249767,12632278,13030600,13445981,13876134,14316247,14757072,15197917,15650018,16116851,16602652,17113736,17636414,18169844,18718022,19275504,19835860,20392730,20951638,21522632,22100690,22673764
Burundi,2254121,2303256,2351540,2399100,2446765,2495202,2544266,2593848,2643156,2693642,2746633,2815976,2887397,2948131,3033227,3118139,3193389,3274496,3352406,3424431,3497842,3582080,3579196,3571455,3660036,3749235,3830894,3927429,4039416,4137435,4312846,4490745,4602275,4726511,4842271,4948031,5041711,5157770,5271844,5373706,5483800,5594838,5743083,5555227,5586415,5932789,5930512,5923863,6035347,6180189,6307665,6465731,6648951,6860854,7120502,7388869,7658194,7944613,8278112,8709371,9126612,9455737,9795479,10149583,10494920,10727153,10903329,11155592,11493476,11874838,12220229,12551215,12889583
Cambodia,4380384,4485394,4592881,4702070,4814380,4931233,5051848,5175946,5298410,5419153,5541679,5664665,5788856,5913682,6040854,6170727,6299236,6426456,6553111,6679712,6708523,6696324,6766292,6852365,6913410,6727925,6307123,6040198,5961192,6051810,6198963,6364474,6619704,6881965,7133905,7376090,7661320,7975606,8269784,8570931,8910806,9259362,9718217,10243554,10636353,10919528,11182613,11431578,11669087,11899010,12118844,12338198,12561783,12787714,13016377,13246588,13477781,13714798,13943897,14155742,14363534,14573894,14786650,14999691,15210817,15417527,15624586,15830694,16025242,16207746,16396864,16589031,16767851
Cameroon,4315823,4381983,4449599,4519193,4592382,4670545,4753924,4840930,4931690,5028164,5117606,5200364,5303847,5427516,5556211,5690089,5829584,5975093,6127201,6286226,6452787,6627357,6809472,6998691,7194702,7397421,7598028,7796826,8013278,8243382,8519894,8829055,9046988,9240673,9508581,9804266,10112711,10433912,10759581,11089225,11430519,11777721,12128609,12486776,12848863,13211643,13575327,13941183,14314604,14698975,15091598,15493256,15914029,16354324,16809406,17275174,17751338,18251868,18777082,19319276,19878044,20448880,21032684,21632852,22299590,23012650,23711626,24393182,25076752,25782342,26491090,27198632,27914542
Canada,13743068,14085723,14485746,14901533,15323199,15733926,16167046,16650052,17113392,17524910,17909358,18273690,18622354,18971014,19326326,19688808,20055242,20408046,20731928,21033938,21434580,21888686,22222228,22502026,22812430,23136250,23442118,23715310,23962686,24219116,24511512,24815780,25101514,25360732,25602080,25843920,26116076,26436886,26815068,27244408,27657206,28015762,28347644,28668168,28981190,29289430,29593856,29882752,30144816,30399776,30683316,31002768,31322400,31619456,31911670,32215914,32531864,32862458,33218542,33593920,33963416,34323536,34691876,35063696,35404616,35732120,36113532,36554344,37035260,37522584,37888704,38155012,38454328
Cape Verde,185013,187262,189477,191530,193477,195399,197471,199873,202747,206164,209856,214794,221491,228823,236369,244165,252248,260658,269418,278536,287261,293513,296818,299197,301688,304382,307023,309399,311694,314005,317249,321638,326326,330981,335481,339890,344284,348726,353237,358160,364572,372733,381957,391764,401664,411394,421018,430662,440223,449630,458258,465970,473237,480095,486591,492841,498895,504742,510342,515643,521219,527528,533877,539949,546083,552169,558399,564959,571209,577037,582646,587936,593162
Cayman Islands,6937,7128,7472,7709,7955,8150,8222,8301,8353,8401,8500,8647,8825,9009,9193,9386,9591,9795,10007,10206,10551,11135,11803,12465,13141,13812,14477,15141,15773,16400,17123,17927,18752,19597,20457,21340,22220,23095,23982,24911,26050,27362,28701,30061,31439,32823,34216,35603,36969,38319,39683,41073,42480,43881,45311,46750,48199,49666,51140,52620,54095,55513,56884,58232,59580,60935,62274,63601,64904,66152,67327,68157,68722
Central African Republic,1436604,1456941,1477904,1499691,1522326,1545901,1570458,1596025,1622622,1650473,1679735,1710369,1742507,1776221,1811700,1849177,1888853,1930870,1975257,2021521,2067364,2111231,2153622,2195908,2239318,2283931,2318356,2342055,2365961,2390331,2415284,2441014,2467639,2495102,2523549,2553074,2583635,2615596,2657237,2724112,2809223,2898059,2991733,3089148,3187851,3276707,3363576,3458477,3555074,3655366,3759174,3844780,3930654,4026853,4115146,4208845,4294352,4375582,4467237,4564544,4660066,4732037,4773306,4802437,4798739,4819341,4904182,4996741,5094795,5209329,5343024,5457165,5579148
Chad,2512693,2560170,2607682,2656088,2705625,2756173,2807904,2860904,2915296,2971257,3028688,3087662,3148248,3210298,3273422,3336341,3398673,3461675,3526775,3595154,3667400,3742543,3824404,3912914,4000559,4084114,4163056,4238555,4313485,4402949,4408239,4409228,4622833,4859174,4920557,4967592,5118163,5300856,5483044,5670621,5827070,6042433,6302934,6448279,6593004,6888862,7200292,7450883,7709112,7981888,8259144,8538806,8838371,9196374,9613509,10005013,10365620,10722738,11098672,11496138,11894734,12317729,12754912,13216769,13697128,14140277,14592587,15085893,15604213,16126868,16644707,17179744,17723312
Chile,6623650,6748677,6882965,7024139,7171411,7323198,7480643,7641939,7806577,7973551,8141826,8313539,8486124,8656007,8825044,8994942,9161650,9326270,9491502,9656302,9820483,9984377,10145762,10307850,10472748,10639534,10804876,10969865,11137754,11304332,11469825,11637615,11807411,11976519,12147764,12326395,12514509,12712786,12918395,13128625,13342876,13561946,13782300,13998387,14210680,14416799,14615489,14809289,14996745,15176418,15351803,15523973,15693798,15859114,16017966,16175315,16334573,16495543,16661463,16833450,17004166,17173568,17341770,17509926,17687108,17870122,18083880,18368582,18701452,19039484,19300318,19493184,19603736
China,543979200,553614016,564954496,577378688,589936000,603320128,616283008,630003008,643791552,652179200,654170688,655260352,664614656,683903552,704593792,723846336,742948544,761006272,780371968,801430976,822534464,843285440,862840384,881652096,899367680,915124672,929375936,942581312,955138944,968298944,982372480,997259520,1013483200,1029226880,1044172224,1060240000,1077770496,1096851840,1115889792,1134414720,1153704192,1170626176,1183813376,1195855616,1207286656,1218144384,1228298880,1237801472,1246836096,1255433216,1264099072,1272739584,1280926080,1288873344,1296816768,1304887552,1313086592,1321513216,1330167168,1339125632,1348191360,1357095424,1366560768,1376100352,1385189632,1393715456,1401889664,1410275968,1417069440,1421864064,1424929792,1425893504,1425887360
Colombia,11769747,12087061,12419969,12767245,13130655,13512614,13911411,14329364,14760804,15211086,15687692,16182421,16691286,17210954,17739760,18275818,18811410,19343968,19872508,20392264,20905256,21405412,21898060,22396324,22897878,23403732,23913004,24443926,25003606,25579328,26176206,26785992,27405200,28042326,28689038,29326256,29960106,30603052,31256726,31923126,32601396,33272632,33939044,34614732,35295460,35970104,36632576,37291948,37944416,38585040,39215136,39837876,40454056,41057688,41648272,42220944,42772912,43306592,43815316,44313916,44816104,45308896,45782420,46237928,46677944,47119728,47625960,48351668,49276968,50187404,50930656,51516560,51874028
Comoros,161823,165156,168309,171618,174814,177891,180871,184077,187652,191256,194864,198633,202538,206557,210672,214948,219377,224329,229985,236017,242362,249072,256196,263742,271724,280044,288819,298166,307947,318134,328336,337991,347063,356152,365671,375661,386072,396895,408068,419591,431128,442286,452997,463325,473485,483767,494289,505041,515974,526450,536762,547757,559053,570142,581161,592691,604664,616901,629476,642498,656032,670081,684564,699397,714617,730221,746239,761672,776322,790993,806168,821632,836783
Congo,835136,853259,872091,891714,912138,933422,955727,979068,1003503,1029056,1055696,1083432,1112347,1142606,1174274,1207417,1242124,1278323,1316130,1355712,1396991,1440168,1485280,1532076,1580286,1624940,1665421,1706186,1747211,1788229,1829262,1870545,1911638,1951854,2001746,2062565,2124873,2188660,2253337,2319181,2385433,2452681,2520964,2594181,2669220,2742316,2816600,2875047,2937169,3016661,3134034,3254105,3331170,3424664,3543018,3672845,3813325,3956337,4089607,4257234,4437883,4584223,4713260,4828073,4944865,5064390,5186830,5312347,5441061,5570736,5702183,5835814,5970430
